106, Current Cost:270.1656022734962, Best Cost:240.27532738320872
107, Current Cost:270.16560227349623, Best Cost:240.27532738320872
108, Current Cost:247.60378451014972, Best Cost:240.27532738320872
109, Current Cost:270.16560227349623, Best Cost:240.27532738320872
110, Current Cost:240.27532738320872, Best Cost:240.27532738320872
111, Current Cost:270.16560227349623, Best Cost:240.27532738320872
112, Current Cost:270.16560227349623, Best Cost:240.27532738320872
113, Current Cost:270.1656022734962, Best Cost:240.27532738320872
114, Current Cost:270.1656022734962, Best Cost:240.27532738320872
115, Current Cost:240.27532738320872, Best Cost:240.27532738320872
116, Current Cost:240.27532738320872, Best Cost:240.27532738320872
117, Current Cost:247.60378451014972, Best Cost:240.27532738320872
118, Current Cost:270.16560227349623, Best Cost:240.27532738320872
119, Current Cost:270.16560227349623, Best Cost:240.27532738320872
120, Current Cost:240.27532738320872, Best Cost:240.27532738320872
121, Current Cost:240.27532738320872, Best Cost:240.27532738320872
122, Current Cost:270.16560227349623, Best Cost:240.27532738320872
123, Current Cost:247.60378451014972, Best Cost:240.27532738320872
124, Current Cost:240.27532738320872, Best Cost:240.27532738320872
125, Current Cost:270.16560227349623, Best Cost:240.27532738320872
126, Current Cost:247.60378451014972, Best Cost:240.27532738320872
127, Current Cost:270.16560227349623, Best Cost:240.27532738320872
128, Current Cost:247.60378451014972, Best Cost:240.27532738320872
129, Current Cost:270.16560227349623, Best Cost:240.27532738320872
130, Current Cost:240.27532738320872, Best Cost:240.27532738320872
131, Current Cost:240.27532738320872, Best Cost:240.27532738320872
132, Current Cost:240.27532738320872, Best Cost:240.27532738320872
133, Current Cost:270.16560227349623, Best Cost:240.27532738320872
134, Current Cost:270.1656022734962, Best Cost:240.27532738320872
135, Current Cost:270.16560227349623, Best Cost:240.27532738320872
136, Current Cost:270.1656022734962, Best Cost:240.27532738320872
137, Current Cost:247.60378451014972, Best Cost:240.27532738320872
138, Current Cost:240.27532738320872, Best Cost:240.27532738320872
139, Current Cost:247.60378451014972, Best Cost:240.27532738320872
140, Current Cost:247.60378451014972, Best Cost:240.27532738320872
141, Current Cost:240.27532738320872, Best Cost:240.27532738320872
142, Current Cost:270.16560227349623, Best Cost:240.27532738320872
143, Current Cost:270.16560227349623, Best Cost:240.27532738320872
144, Current Cost:270.16560227349623, Best Cost:240.27532738320872
145, Current Cost:240.27532738320872, Best Cost:240.27532738320872
146, Current Cost:240.27532738320872, Best Cost:240.27532738320872
147, Current Cost:240.27532738320872, Best Cost:240.27532738320872
148, Current Cost:240.27532738320872, Best Cost:240.27532738320872
149, Current Cost:240.27532738320872, Best Cost:240.27532738320872
150, Current Cost:247.60378451014972, Best Cost:240.27532738320872
151, Current Cost:240.27532738320872, Best Cost:240.27532738320872
152, Current Cost:240.27532738320872, Best Cost:240.27532738320872
153, Current Cost:270.16560227349623, Best Cost:240.27532738320872
154, Current Cost:270.16560227349623, Best Cost:240.27532738320872
155, Current Cost:270.1656022734962, Best Cost:240.27532738320872
156, Current Cost:240.27532738320872, Best Cost:240.27532738320872
157, Current Cost:270.1656022734962, Best Cost:240.27532738320872
158, Current Cost:270.1656022734962, Best Cost:240.27532738320872
159, Current Cost:240.27532738320872, Best Cost:240.27532738320872
160, Current Cost:270.1656022734962, Best Cost:240.27532738320872
161, Current Cost:240.27532738320872, Best Cost:240.27532738320872
162, Current Cost:240.27532738320872, Best Cost:240.27532738320872
163, Current Cost:270.1656022734962, Best Cost:240.27532738320872
164, Current Cost:270.1656022734962, Best Cost:240.27532738320872
165, Current Cost:270.16560227349623, Best Cost:240.27532738320872
166, Current Cost:270.16560227349623, Best Cost:240.27532738320872
167, Current Cost:270.16560227349623, Best Cost:240.27532738320872
168, Current Cost:270.16560227349623, Best Cost:240.27532738320872
169, Current Cost:240.27532738320872, Best Cost:240.27532738320872
170, Current Cost:270.16560227349623, Best Cost:240.27532738320872
171, Current Cost:240.27532738320872, Best Cost:240.27532738320872
172, Current Cost:240.27532738320872, Best Cost:240.27532738320872
173, Current Cost:270.16560227349623, Best Cost:240.27532738320872
174, Current Cost:270.16560227349623, Best Cost:240.27532738320872
175, Current Cost:270.16560227349623, Best Cost:240.27532738320872
176, Current Cost:240.27532738320872, Best Cost:240.27532738320872
177, Current Cost:240.27532738320872, Best Cost:240.27532738320872
178, Current Cost:247.60378451014972, Best Cost:240.27532738320872
179, Current Cost:270.16560227349623, Best Cost:240.27532738320872
180, Current Cost:270.16560227349623, Best Cost:240.27532738320872
181, Current Cost:270.16560227349623, Best Cost:240.27532738320872
182, Current Cost:270.16560227349623, Best Cost:240.27532738320872
183, Current Cost:240.27532738320872, Best Cost:240.27532738320872
184, Current Cost:240.27532738320872, Best Cost:240.27532738320872
185, Current Cost:247.60378451014972, Best Cost:240.27532738320872
186, Current Cost:247.60378451014972, Best Cost:240.27532738320872
187, Current Cost:240.27532738320872, Best Cost:240.27532738320872
188, Current Cost:240.27532738320872, Best Cost:240.27532738320872
189, Current Cost:270.16560227349623, Best Cost:240.27532738320872
190, Current Cost:240.27532738320872, Best Cost:240.27532738320872
191, Current Cost:240.27532738320872, Best Cost:240.27532738320872
192, Current Cost:270.16560227349623, Best Cost:240.27532738320872
193, Current Cost:247.60378451014972, Best Cost:240.27532738320872
194, Current Cost:270.16560227349623, Best Cost:240.27532738320872
195, Current Cost:240.27532738320872, Best Cost:240.27532738320872
196, Current Cost:247.60378451014972, Best Cost:240.27532738320872
197, Current Cost:247.60378451014972, Best Cost:240.27532738320872
198, Current Cost:240.27532738320872, Best Cost:240.27532738320872
199, Current Cost:240.27532738320872, Best Cost:240.27532738320872
200, Current Cost:240.27532738320872, Best Cost:240.27532738320872
201, Current Cost:240.27532738320872, Best Cost:240.27532738320872
202, Current Cost:240.27532738320872, Best Cost:240.27532738320872
203, Current Cost:247.60378451014972, Best Cost:240.27532738320872
204, Current Cost:240.27532738320872, Best Cost:240.27532738320872
205, Current Cost:270.16560227349623, Best Cost:240.27532738320872
206, Current Cost:240.27532738320872, Best Cost:240.27532738320872
207, Current Cost:240.27532738320872, Best Cost:240.27532738320872
208, Current Cost:240.27532738320872, Best Cost:240.27532738320872
209, Current Cost:240.27532738320872, Best Cost:240.27532738320872
210, Current Cost:247.60378451014972, Best Cost:240.27532738320872
211, Current Cost:247.60378451014972, Best Cost:240.27532738320872
212, Current Cost:247.60378451014972, Best Cost:240.27532738320872
213, Current Cost:247.60378451014972, Best Cost:240.27532738320872
214, Current Cost:247.60378451014972, Best Cost:240.27532738320872
215, Current Cost:247.60378451014972, Best Cost:240.27532738320872
216, Current Cost:240.27532738320872, Best Cost:240.27532738320872
217, Current Cost:240.27532738320872, Best Cost:240.27532738320872
218, Current Cost:247.60378451014972, Best Cost:240.27532738320872
219, Current Cost:247.60378451014972, Best Cost:240.27532738320872
220, Current Cost:270.1656022734962, Best Cost:240.27532738320872
221, Current Cost:247.60378451014972, Best Cost:240.27532738320872
222, Current Cost:247.60378451014972, Best Cost:240.27532738320872
223, Current Cost:247.60378451014972, Best Cost:240.27532738320872
224, Current Cost:270.16560227349623, Best Cost:240.27532738320872
225, Current Cost:240.27532738320872, Best Cost:240.27532738320872
226, Current Cost:270.16560227349623, Best Cost:240.27532738320872
227, Current Cost:270.16560227349623, Best Cost:240.27532738320872
228, Current Cost:240.27532738320872, Best Cost:240.27532738320872
229, Current Cost:240.27532738320872, Best Cost:240.27532738320872
230, Current Cost:270.1656022734962, Best Cost:240.27532738320872
231, Current Cost:270.16560227349623, Best Cost:240.27532738320872
232, Current Cost:270.16560227349623, Best Cost:240.27532738320872
233, Current Cost:247.60378451014972, Best Cost:240.27532738320872
234, Current Cost:247.60378451014972, Best Cost:240.27532738320872
235, Current Cost:240.27532738320872, Best Cost:240.27532738320872
236, Current Cost:247.60378451014972, Best Cost:240.27532738320872
237, Current Cost:240.27532738320872, Best Cost:240.27532738320872
238, Current Cost:270.1656022734962, Best Cost:240.27532738320872
239, Current Cost:240.27532738320872, Best Cost:240.27532738320872
240, Current Cost:247.60378451014972, Best Cost:240.27532738320872
241, Current Cost:247.60378451014972, Best Cost:240.27532738320872
242, Current Cost:247.60378451014972, Best Cost:240.27532738320872
243, Current Cost:247.60378451014972, Best Cost:240.27532738320872
244, Current Cost:247.60378451014972, Best Cost:240.27532738320872
245, Current Cost:270.16560227349623, Best Cost:240.27532738320872
246, Current Cost:247.60378451014972, Best Cost:240.27532738320872
247, Current Cost:240.27532738320872, Best Cost:240.27532738320872
248, Current Cost:240.27532738320872, Best Cost:240.27532738320872
249, Current Cost:240.27532738320872, Best Cost:240.27532738320872
250, Current Cost:240.27532738320872, Best Cost:240.27532738320872
251, Current Cost:247.60378451014972, Best Cost:240.27532738320872
252, Current Cost:247.60378451014972, Best Cost:240.27532738320872
253, Current Cost:270.16560227349623, Best Cost:240.27532738320872
254, Current Cost:247.60378451014972, Best Cost:240.27532738320872
255, Current Cost:240.27532738320872, Best Cost:240.27532738320872
256, Current Cost:240.27532738320872, Best Cost:240.27532738320872
257, Current Cost:240.27532738320872, Best Cost:240.27532738320872
258, Current Cost:240.27532738320872, Best Cost:240.27532738320872
259, Current Cost:240.27532738320872, Best Cost:240.27532738320872
260, Current Cost:247.60378451014972, Best Cost:240.27532738320872
261, Current Cost:240.27532738320872, Best Cost:240.27532738320872
262, Current Cost:240.27532738320872, Best Cost:240.27532738320872
263, Current Cost:270.16560227349623, Best Cost:240.27532738320872
264, Current Cost:247.60378451014972, Best Cost:240.27532738320872
265, Current Cost:240.27532738320872, Best Cost:240.27532738320872
266, Current Cost:240.27532738320872, Best Cost:240.27532738320872
267, Current Cost:240.27532738320872, Best Cost:240.27532738320872
268, Current Cost:240.27532738320872, Best Cost:240.27532738320872
269, Current Cost:240.27532738320872, Best Cost:240.27532738320872
270, Current Cost:247.60378451014972, Best Cost:240.27532738320872
271, Current Cost:270.16560227349623, Best Cost:240.27532738320872
272, Current Cost:270.16560227349623, Best Cost:240.27532738320872
273, Current Cost:240.27532738320872, Best Cost:240.27532738320872
274, Current Cost:240.27532738320872, Best Cost:240.27532738320872
275, Current Cost:240.27532738320872, Best Cost:240.27532738320872
276, Current Cost:270.16560227349623, Best Cost:240.27532738320872
277, Current Cost:240.27532738320872, Best Cost:240.27532738320872
278, Current Cost:240.27532738320872, Best Cost:240.27532738320872
279, Current Cost:270.16560227349623, Best Cost:240.27532738320872
280, Current Cost:270.16560227349623, Best Cost:240.27532738320872
281, Current Cost:240.27532738320872, Best Cost:240.27532738320872
282, Current Cost:240.27532738320872, Best Cost:240.27532738320872
283, Current Cost:270.16560227349623, Best Cost:240.27532738320872
284, Current Cost:270.16560227349623, Best Cost:240.27532738320872
285, Current Cost:240.27532738320872, Best Cost:240.27532738320872
286, Current Cost:270.16560227349623, Best Cost:240.27532738320872
287, Current Cost:247.60378451014972, Best Cost:240.27532738320872
288, Current Cost:270.16560227349623, Best Cost:240.27532738320872
289, Current Cost:247.60378451014972, Best Cost:240.27532738320872
290, Current Cost:270.16560227349623, Best Cost:240.27532738320872
291, Current Cost:240.27532738320872, Best Cost:240.27532738320872
292, Current Cost:270.16560227349623, Best Cost:240.27532738320872
293, Current Cost:247.60378451014972, Best Cost:240.27532738320872
294, Current Cost:270.16560227349623, Best Cost:240.27532738320872
295, Current Cost:270.16560227349623, Best Cost:240.27532738320872
296, Current Cost:270.16560227349623, Best Cost:240.27532738320872
297, Current Cost:270.16560227349623, Best Cost:240.27532738320872
298, Current Cost:247.60378451014972, Best Cost:240.27532738320872
299, Current Cost:240.27532738320872, Best Cost:240.27532738320872
300, Current Cost:247.60378451014972, Best Cost:240.27532738320872
301, Current Cost:247.60378451014972, Best Cost:240.27532738320872
302, Current Cost:270.16560227349623, Best Cost:240.27532738320872
303, Current Cost:240.27532738320872, Best Cost:240.27532738320872
304, Current Cost:240.27532738320872, Best Cost:240.27532738320872
305, Current Cost:240.27532738320872, Best Cost:240.27532738320872
306, Current Cost:270.1656022734962, Best Cost:240.27532738320872
307, Current Cost:270.1656022734962, Best Cost:240.27532738320872
308, Current Cost:240.27532738320872, Best Cost:240.27532738320872
309, Current Cost:270.1656022734962, Best Cost:240.27532738320872
310, Current Cost:247.60378451014972, Best Cost:240.27532738320872
311, Current Cost:247.60378451014972, Best Cost:240.27532738320872
312, Current Cost:240.27532738320872, Best Cost:240.27532738320872
313, Current Cost:240.27532738320872, Best Cost:240.27532738320872
314, Current Cost:270.16560227349623, Best Cost:240.27532738320872
315, Current Cost:247.60378451014972, Best Cost:240.27532738320872
316, Current Cost:247.60378451014972, Best Cost:240.27532738320872
317, Current Cost:247.60378451014972, Best Cost:240.27532738320872
318, Current Cost:240.27532738320872, Best Cost:240.27532738320872
319, Current Cost:270.16560227349623, Best Cost:240.27532738320872
320, Current Cost:270.1656022734962, Best Cost:240.27532738320872
321, Current Cost:270.1656022734962, Best Cost:240.27532738320872
322, Current Cost:270.16560227349623, Best Cost:240.27532738320872
323, Current Cost:240.27532738320872, Best Cost:240.27532738320872
324, Current Cost:247.60378451014972, Best Cost:240.27532738320872
325, Current Cost:270.1656022734962, Best Cost:240.27532738320872
326, Current Cost:270.1656022734962, Best Cost:240.27532738320872
327, Current Cost:270.16560227349623, Best Cost:240.27532738320872
328, Current Cost:270.16560227349623, Best Cost:240.27532738320872
329, Current Cost:270.1656022734962, Best Cost:240.27532738320872
330, Current Cost:240.27532738320872, Best Cost:240.27532738320872
331, Current Cost:240.27532738320872, Best Cost:240.27532738320872
332, Current Cost:247.60378451014972, Best Cost:240.27532738320872
333, Current Cost:247.60378451014972, Best Cost:240.27532738320872
334, Current Cost:270.16560227349623, Best Cost:240.27532738320872
335, Current Cost:270.16560227349623, Best Cost:240.27532738320872
336, Current Cost:270.16560227349623, Best Cost:240.27532738320872
